term,parameter,crop_num,estimate,std.error,conf_2.5,conf_97.5,rhat,ess,conf_25,conf_75,Year,Session,Date,Run_ID,crop_name,prior_mean,prior_sd
b_depth[2],b_depth,2,-0.703702748547412,0.1620214278153,-1.02565501119319,-0.392766461374447,1.0000847932844,20000,-0.812121023397968,-0.592938696331815,2011,4,2011-08-03,_current,Switchgrass,-1,5
b_depth[3],b_depth,3,-0.312075419414614,0.151786424331897,-0.629732461631728,-0.0342115383261182,1.0001739299173,14671,-0.411024439163426,-0.205595576874212,2011,4,2011-08-03,_current,Miscanthus,-1,5
b_depth[4],b_depth,4,-0.539967176381961,0.136315983422763,-0.816135636384763,-0.287228835544529,1.00024353612318,20000,-0.629318904675177,-0.445876268227652,2011,4,2011-08-03,_current,Prairie,-1,5
intercept[1],intercept,1,-5.09597287964643,0.136062195514877,-5.35852611296575,-4.82849229748799,1.00013389727706,9407,-5.18880998672516,-5.00456718814177,2011,4,2011-08-03,_current,Maize-Soybean,-6,6
intercept[2],intercept,2,-4.81010294507247,0.134442487540212,-5.07265125902281,-4.54171769779908,1.00051057958181,8972,-4.89990356060853,-4.72135894962814,2011,4,2011-08-03,_current,Switchgrass,-6,6
intercept[3],intercept,3,-5.45394253828414,0.130744470386376,-5.70854481261205,-5.19481125806798,1.00040535654987,7968,-5.54276156566941,-5.36705246593024,2011,4,2011-08-03,_current,Miscanthus,-6,6
intercept[4],intercept,4,-4.98666411001542,0.126392486482561,-5.23258076161114,-4.73801813973888,1.00065544950443,7656,-5.07139940853958,-4.90149287735384,2011,4,2011-08-03,_current,Prairie,-6,6
loc_detect,loc_detect,NA,-8.11491551760051,0.723386182370027,-9.84863643499618,-7.15809512236588,1.00066218319917,4968,-8.4256805476497,-7.64535893836942,2011,4,2011-08-03,_current,NA,-8,10
loc_surface[1],loc_surface,1,12.0639469107606,4.96375429729352,2.15693265060919,21.8479154490485,1.00034378705454,11526,9.0102302541049,15.1669870936112,2011,4,2011-08-03,_current,Maize-Soybean,13,10
loc_surface[2],loc_surface,2,14.5679282675004,3.34905930544638,8.07095135967062,21.389939031493,1.00028286211459,15348,12.3454191445698,16.7323648854264,2011,4,2011-08-03,_current,Switchgrass,13,10
loc_surface[3],loc_surface,3,10.1534428131896,4.76159105139287,1.09325816796752,19.8392166258251,1.00025697390016,12554,7.09167785398434,13.1333733302523,2011,4,2011-08-03,_current,Miscanthus,13,10
loc_surface[4],loc_surface,4,11.4028719506628,2.81829110074268,6.44308427711344,17.3861042362313,1.00032666835174,13389,9.41339548040865,13.1912341589516,2011,4,2011-08-03,_current,Prairie,13,10
scale_detect,scale_detect,NA,0.952228478428142,0.257358252284433,0.609425776871216,1.56210286775067,1.00066125713527,5051,0.785087297409896,1.06462292278739,2011,4,2011-08-03,_current,NA,0,6
scale_surface[1],scale_surface,1,6.38349691835766,2.29779067715146,2.88763715890052,12.0207808327971,1.00001228671998,20000,4.78201878101164,7.58576321204531,2011,4,2011-08-03,_current,Maize-Soybean,6,5
